,Accuracy,Precision,Recall,F1,AUC,MAE,RMSE,R2,Adjusted R2
Logistic Regression,0.8370786516853933,0.8095238095238095,0.75,0.7786259541984732,0.8692513368983957,,,,
Decision Tree,0.7921348314606742,0.8163265306122449,0.5882352941176471,0.6837606837606838,0.8352272727272726,,,,
Random Forest,0.8033707865168539,0.7538461538461538,0.7205882352941176,0.7368421052631579,0.8287433155080214,,,,
Linear Regression — Fare,,,,,,16.692400691146545,39.12147323312095,0.4263410845683162,0.299740496335117
