,Precision,Recall,F1
Baseline,0.7538461538461538,0.7205882352941176,0.7368421052631579
Class Weight Balanced,0.7538461538461538,0.7205882352941176,0.7368421052631579
SMOTE,0.7611940298507462,0.75,0.7555555555555555
